index,cell_id,actual_zone,suggested_zone,suggested_confidence,actual_probability,gap,neighbours
550,ghsl_7599_cell_00550,Industrial,Commercial,0.5489,0.0597,0.4892,"Commercialx2, Civicx1"
665,ghsl_7599_cell_00665,Industrial,Residential,0.66,0.1722,0.4877,"Residentialx2, Utilityx1, Industrialx1"
320,ghsl_7599_cell_00320,Civic,Residential,0.6336,0.1464,0.4872,"Residentialx2, Civicx1, Industrialx1"
417,ghsl_7599_cell_00417,Industrial,Residential,0.5583,0.0747,0.4836,"Residentialx2, Commercialx1, Civicx1"
582,ghsl_7599_cell_00582,Green,Civic,0.5043,0.0301,0.4743,"Civicx1, Utilityx1"
597,ghsl_7599_cell_00597,Civic,Residential,0.5475,0.0781,0.4695,"Residentialx2, Commercialx1, Industrialx1"
323,ghsl_7599_cell_00323,Civic,Residential,0.6166,0.1586,0.458,"Residentialx2, Civicx1, Industrialx1"
510,ghsl_7599_cell_00510,Residential,Civic,0.5866,0.1376,0.449,"Civicx1, Utilityx1"
694,ghsl_7599_cell_00694,Utility,Residential,0.4581,0.0106,0.4475,"Industrialx2, Residentialx2"
451,ghsl_7599_cell_00451,Utility,Civic,0.4596,0.0128,0.4468,"Civicx2, Commercialx2"
96,ghsl_7599_cell_00096,Residential,Industrial,0.6639,0.2214,0.4425,"Industrialx3, Residentialx1"
317,ghsl_7599_cell_00317,Industrial,Residential,0.6606,0.2202,0.4403,"Residentialx2, Industrialx2"
450,ghsl_7599_cell_00450,Commercial,Residential,0.5023,0.0638,0.4385,"Utilityx2, Greenx1, Residentialx1"
532,ghsl_7599_cell_00532,Civic,Commercial,0.5365,0.1039,0.4326,"Commercialx3, Utilityx1"
707,ghsl_7599_cell_00707,Commercial,Residential,0.4808,0.0497,0.4311,"Residentialx2, Civicx1, Industrialx1"
20,ghsl_7599_cell_00020,Residential,Industrial,0.5648,0.1414,0.4234,"Industrialx2, Utilityx1, Civicx1"
547,ghsl_7599_cell_00547,Residential,Utility,0.5734,0.1546,0.4188,Utilityx2
531,ghsl_7599_cell_00531,Commercial,Residential,0.4786,0.0602,0.4184,"Utilityx2, Residentialx1, Civicx1"
48,ghsl_7599_cell_00048,Industrial,Residential,0.6396,0.2251,0.4145,"Residentialx2, Industrialx1"
321,ghsl_7599_cell_00321,Industrial,Civic,0.4834,0.0821,0.4013,"Civicx2, Officex1, Residentialx1"
273,ghsl_7599_cell_00273,Commercial,Residential,0.6224,0.2233,0.3991,"Residentialx2, Commercialx2"
111,ghsl_7599_cell_00111,Industrial,Residential,0.6285,0.2396,0.3889,"Residentialx2, Industrialx2"
435,ghsl_7599_cell_00435,Civic,Industrial,0.4837,0.1033,0.3804,"Industrialx2, Utilityx2"
549,ghsl_7599_cell_00549,Commercial,Residential,0.4216,0.0541,0.3675,"Civicx1, Utilityx1, Industrialx1, Residentialx1"
449,ghsl_7599_cell_00449,Green,Residential,0.4771,0.1109,0.3662,"Residentialx1, Commercialx1, Greenx1"
650,ghsl_7599_cell_00650,Utility,Industrial,0.4822,0.1249,0.3573,"Utilityx2, Industrialx2"
